SA2_MAINCODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EAW_DC_0_4,T_LPLFS_HNS_DC_0_4,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_U_T_DC_0_4,T_LPLFS_T_LF_DC_0_4,T_LPLFS_NLF_DC_0_4,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_Tot_DC_0_4
212031300,32,8,9,80,5,8,15,99,178,0,274
212031301,65,6,3,106,10,20,31,141,110,4,248
212031302,36,8,0,72,3,17,23,94,127,3,225
212031303,14,0,0,23,3,3,4,28,32,0,57
212031304,39,8,3,70,3,6,11,81,81,4,167
212031305,47,8,0,82,4,10,19,98,146,3,243
212031306,13,0,0,35,0,0,3,34,37,0,71
212031308,11,3,0,19,0,5,7,23,23,0,47
212031457,9,3,0,15,0,3,3,21,43,0,59
212031458,32,3,0,47,9,3,15,65,81,0,143
212041309,6,3,0,18,0,0,0,19,26,0,47
212041310,11,0,0,18,0,0,0,15,32,0,51
212041311,28,4,0,71,6,12,22,86,176,3,273
212041312,25,7,3,58,4,6,6,72,112,3,178
212041313,12,0,0,22,0,0,0,19,12,0,34
212041314,37,3,0,66,13,3,15,80,91,4,175
212041316,4,0,0,12,0,0,3,16,39,0,50
212041317,29,3,4,60,6,6,8,76,116,0,191
212041318,16,3,0,48,3,3,3,48,79,4,141
212041459,19,0,3,40,3,3,8,46,73,0,123
212041460,24,3,3,56,6,12,21,72,143,4,221
212051319,27,3,3,40,0,3,3,45,52,0,96
212051320,3,4,0,17,3,3,5,25,39,0,60
212051321,15,0,6,26,0,3,3,30,28,0,57
212051322,10,7,0,34,0,0,3,36,29,0,69
212051323,3,0,0,19,0,0,0,23,19,0,39
212051324,12,0,0,22,0,5,10,34,23,0,51
212051325,16,0,0,33,3,5,9,39,56,0,90
212051326,10,8,0,26,4,5,5,29,44,0,73
212051327,19,7,0,41,3,3,3,42,23,0,68
213011328,11,3,0,26,5,0,9,32,47,0,77
213011329,19,4,0,44,0,0,3,46,49,3,98
213011330,39,0,12,94,3,6,14,105,199,8,312
213011331,5,0,0,12,7,11,11,24,49,0,75
213011332,15,4,3,31,5,6,14,45,80,0,124
213011333,18,3,4,53,3,5,10,69,119,3,186
213011334,20,3,0,55,22,12,32,90,186,8,283
213011335,16,3,4,43,3,8,12,58,135,3,196
213011336,8,4,0,24,0,0,3,28,56,3,85
213011337,25,0,3,45,3,3,8,51,86,9,141
213011338,21,3,0,62,10,13,15,76,142,6,225
213011339,13,0,3,32,5,0,10,39,40,0,82
213011340,9,5,0,22,0,3,3,25,37,0,65
213021341,14,0,0,28,3,0,3,32,31,0,64
213021342,28,0,3,53,3,4,8,62,85,0,146
213021343,18,0,5,29,0,3,3,32,58,0,89
213021344,23,0,0,55,0,0,0,56,23,3,84
213021345,3,0,0,6,0,0,0,9,28,0,37
213021346,7,0,0,22,3,3,4,26,34,0,64
213031347,26,4,3,49,4,9,13,65,115,0,186
213031348,8,0,0,19,0,5,9,30,50,3,78
213031349,13,0,0,25,3,0,4,31,24,0,56
213031350,19,4,0,25,5,0,8,31,21,0,53
213031351,12,7,0,29,0,0,5,34,29,0,61
213031352,11,0,0,20,0,0,0,20,24,0,48
213041353,37,5,0,60,3,4,12,71,129,0,208
213041355,37,0,0,50,4,3,7,58,64,4,123
213041356,29,11,0,67,9,15,20,91,249,7,340
213041357,69,5,0,116,11,17,25,141,291,8,441
213041358,45,12,0,89,15,10,23,116,196,0,309
213041359,5,0,0,10,0,0,0,9,11,0,17
213041360,32,3,0,56,3,0,3,58,61,3,120
213041461,13,0,0,14,0,0,3,16,23,0,39
213041462,11,0,0,28,0,0,0,27,40,0,66
213041463,32,0,3,52,5,3,4,61,81,3,140
213051361,21,5,4,49,3,7,13,61,108,3,176
213051362,27,7,0,60,3,7,12,68,126,3,193
213051363,9,0,0,23,0,3,3,25,43,0,74
213051365,58,8,9,137,13,17,31,167,214,6,388
213051366,35,12,4,99,12,10,22,114,119,8,243
213051368,11,0,0,30,3,3,7,30,48,0,77
213051369,67,10,4,135,4,14,16,156,197,7,358
213051464,18,6,0,47,8,0,10,54,73,8,141
213051465,38,5,4,76,3,3,9,86,70,3,158
213051466,15,0,0,41,5,10,15,53,54,0,105
213051467,31,8,0,64,12,6,21,87,170,9,261
213051468,26,8,0,41,0,3,7,46,53,0,102
214011370,61,10,7,117,0,7,7,127,139,7,271
214011371,56,9,8,87,9,9,20,112,137,3,252
214011372,45,5,7,83,10,10,23,107,218,6,326
214011373,14,0,0,40,0,7,10,46,33,0,80
214011374,55,0,0,89,4,11,17,103,84,0,187
214011375,22,10,3,56,3,3,8,60,74,0,130
214011376,14,3,0,31,0,3,3,38,57,0,91
214021377,16,4,0,29,0,0,0,28,40,0,68
214021378,7,0,0,7,0,0,0,7,4,0,10
214021379,45,0,0,67,4,12,17,77,131,3,211
214021380,46,7,3,75,3,10,12,84,83,0,164
214021381,12,0,0,21,0,4,4,22,18,0,39
214021382,14,3,8,35,0,0,0,36,16,0,52
214021383,23,4,3,38,0,0,0,41,68,3,116
214021384,51,4,0,67,3,10,15,79,97,3,176
214021385,40,3,0,61,0,5,5,68,71,0,141
215011386,15,7,0,21,3,0,4,23,47,0,77
215011387,3,0,0,7,0,0,0,7,9,0,11
215011388,23,0,0,42,3,8,6,51,134,3,187
215011389,4,0,0,4,0,0,0,4,9,0,13
215011390,0,0,0,8,0,0,0,6,25,0,32
215011391,4,0,0,6,0,0,0,6,8,0,20
215011392,7,3,0,16,0,0,0,16,44,0,53
215011393,3,0,0,3,0,0,0,3,12,0,13
215011394,15,0,0,18,0,0,0,15,33,0,47
215021395,12,0,0,16,0,0,0,22,26,3,52
215021396,9,5,0,20,0,0,0,19,28,0,53
215021398,3,0,0,9,0,0,0,11,16,0,24
215021399,11,0,0,22,0,0,0,19,54,0,79
215021469,46,4,0,75,9,10,14,97,199,5,303
215021470,25,0,0,43,3,8,12,62,90,0,149
215031400,10,3,0,11,0,0,0,11,20,0,31
215031401,9,0,0,10,0,0,0,13,26,0,42
215031402,3,0,0,9,0,0,0,6,24,0,27
215031403,3,0,0,7,0,0,0,11,24,0,35
215031404,36,3,3,49,3,6,5,61,68,3,131
215031405,0,0,0,5,0,0,3,9,23,0,31
216011406,36,3,3,54,0,7,10,68,89,3,162
216011407,16,6,0,28,0,3,3,37,46,0,83
216011408,7,0,0,7,0,3,3,10,11,0,20
216011409,4,0,0,4,0,0,0,4,17,0,22
216011410,3,0,0,7,0,3,3,15,32,0,45
216021411,17,0,0,24,0,0,4,26,34,3,57
216021412,0,0,0,4,0,0,0,7,7,0,16
216021413,22,0,3,32,0,7,6,37,84,0,118
216021414,26,3,0,37,0,0,0,36,53,0,91
216031415,34,0,0,42,3,3,5,47,79,0,134
216031416,30,4,0,49,5,18,22,71,142,0,212
216031417,41,11,0,79,5,18,27,105,173,7,279
216031418,0,0,0,9,0,0,0,9,18,0,27
216031419,15,7,0,28,0,0,0,28,37,3,66
217011420,10,0,0,18,0,0,0,21,32,0,50
217011421,22,8,0,26,0,0,0,28,51,0,81
217011422,18,3,0,24,0,3,3,25,79,0,111
217011423,4,0,0,7,0,0,0,5,11,0,10
217031471,9,0,0,11,0,3,3,14,19,0,27
217031472,42,0,0,57,0,3,3,54,105,0,165
217031473,4,0,0,4,0,0,0,4,11,0,19
217031474,6,6,0,19,0,3,3,17,30,0,47
217031475,16,0,0,19,0,3,3,20,30,0,53
217031476,11,0,0,12,0,0,0,12,3,0,14
217041477,11,0,0,16,0,0,0,19,14,0,34
217041478,17,0,0,27,0,0,0,24,27,0,50
217041479,44,13,0,77,4,3,6,80,131,7,217
217041480,29,3,0,41,0,0,0,41,68,3,112
297979799,0,0,0,0,0,0,0,0,0,0,0
299999499,0,0,0,0,0,0,0,0,0,0,0
