,SA2_MAINCODE_2016,SA2_name,Index of Relative Socio-economic Disadvantage: Score,Male_Lone_Parent_Employed_Worked_Full_Time,Female_Lone_Parent_Employed_Worked_Full_Time,Total_Lone_Parents_Employed_Worked_Full_Time,Male_Lone_Parent_Total_Employed,Female_Lone_Parent_Total_Employed,Total_Lone_Parents_Total_Employed,Male_Lone_Parent_Total_Unemployed,Female_Lone_Parent_Total_Unemployed,Total_Lone_Parents_Total_Unemployed,Male_Lone_Parent_Total,Female_Lone_Parent_Total,Total_Lone_Parents_Total,Female_parent_Employed_worked_Full_time_Male_parent_Employed_Worked_full_time,Female_parent_Employed_worked_Full_time_Male_parent_Employed_Worked_part_time,Female_parent_Employed_worked_Full_time_Male_parent_Unemployed_looking_for_Total,Female_parent_Employed_worked_Full_time_Male_parent_Not_in_the_labour_force,Female_parent_Employed_worked_Full_time_Total,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Worked_full_time,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Worked_part_time,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Total,Female_parent_Employed_worked_Part_time_Total,Female_parent_Employed_away_from_work_Male_parent_Employed_Total,Female_parent_Total_Employed_Male_Parent_Employed_Total,Female_parent_Total_Unemployed_Male_Parent_Employed_Total,Female_parent_Total_Unemployed_Male_Parent_Unemployed_Looking_For_Total,Female_parent_Not_in_the_labour_force_Male_parent_Employed_Total,Female_parent_Not_in_the_labour_force_Male_parent_Not_in_the_labour_force,Female_parent_Total_Total,code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
130,207011150,Glen Iris - East,1125,3,11,12,6,20,23,0,0,0,7,27,33,119,14,0,7,146,295,22,320,326,68,526,8,3,200,10,773,21150,Glen Iris - East,202,174,20,8,0.04
131,207011151,Hawthorn,1087,0,3,3,0,16,16,0,4,4,0,35,35,118,20,0,4,148,269,20,292,300,95,531,18,4,214,43,846,21151,Hawthorn,132,120,9,3,0.02
132,207011152,Hawthorn East,1094,0,12,12,0,23,24,0,0,0,0,34,34,102,15,5,5,128,195,18,216,229,80,414,18,3,199,18,680,21152,Hawthorn East,157,129,18,10,0.06
133,207011153,Kew,1100,0,8,10,0,29,30,0,3,3,0,47,48,143,22,3,5,171,299,24,324,334,79,579,10,3,261,16,904,21153,Kew,183,150,24,9,0.05
134,207011154,Kew East,1098,0,0,0,0,3,3,0,0,0,0,13,13,49,5,0,5,64,108,11,122,121,28,207,5,0,87,0,316,21154,Kew East,56,47,6,3,0.05
135,207011155,Surrey Hills (West) - Canterbury,1116,0,9,9,0,14,13,0,0,0,0,21,17,92,10,5,3,107,203,23,230,231,65,393,5,0,161,14,594,21155,Surrey Hills (West) - Canterbury,154,139,12,3,0.02
136,207021156,Bulleen,1047,0,0,3,0,16,18,0,0,0,0,33,36,59,3,0,7,73,126,21,147,152,42,252,14,0,159,19,470,21156,Bulleen,70,62,5,3,0.04
137,207021157,Doncaster,1037,0,11,8,0,24,28,0,0,0,4,65,67,107,10,6,14,138,189,33,226,236,68,425,23,9,263,35,797,21157,Doncaster,210,151,28,31,0.15
138,207021159,Templestowe,1085,3,10,19,3,22,26,6,0,4,8,40,47,86,16,0,5,107,167,17,190,196,44,344,24,0,190,22,599,21159,Templestowe,151,119,15,17,0.11
139,207021160,Templestowe Lower,1064,0,4,5,4,19,21,0,0,0,8,36,45,103,6,3,4,116,201,17,223,228,58,390,14,3,188,11,644,21160,Templestowe Lower,114,97,9,8,0.07
140,207021424,Doncaster East (North),1077,0,11,12,0,23,21,0,3,4,0,40,38,94,5,3,3,111,137,18,159,165,39,309,15,0,224,18,583,21424,Doncaster East (North),175,126,26,23,0.13
141,207021425,Doncaster East (South),1029,3,13,18,3,27,26,0,0,0,4,58,64,104,7,6,13,136,157,30,195,203,59,371,24,0,238,30,721,21425,Doncaster East (South),206,155,32,19,0.09
142,207031161,Blackburn,1073,0,15,11,0,34,34,0,0,0,3,60,63,142,25,6,11,184,356,28,388,400,97,656,24,6,332,15,1074,21161,Blackburn,238,189,32,17,0.07
143,207031162,Blackburn South,1035,0,4,4,3,6,10,0,0,0,4,35,38,70,12,0,10,91,181,17,199,204,54,330,19,0,132,14,526,21162,Blackburn South,132,108,18,6,0.05
144,207031163,Box Hill,1016,0,9,11,0,22,23,3,4,8,8,49,60,101,15,6,8,136,204,29,238,246,67,425,25,8,281,20,805,21163,Box Hill,174,145,19,10,0.06
145,207031164,Box Hill North,1053,3,10,8,3,26,30,3,3,3,5,57,61,151,13,3,9,180,273,30,304,324,78,551,20,0,262,23,899,21164,Box Hill North,208,163,34,11,0.05
146,207031165,Burwood,1002,0,4,5,0,11,13,0,0,0,0,30,31,60,8,4,4,75,101,24,125,130,33,225,3,0,91,9,365,21165,Burwood,81,66,10,5,0.06
147,207031166,Burwood East,1025,0,4,4,0,10,14,0,3,3,6,29,29,64,10,3,3,77,100,15,118,130,44,240,13,0,130,16,427,21166,Burwood East,100,86,10,4,0.04
148,207031167,Surrey Hills (East) - Mont Albert,1108,3,0,3,3,9,11,0,0,0,3,16,19,62,3,0,4,69,181,21,198,203,36,299,13,5,115,11,453,21167,Surrey Hills (East) - Mont Albert,115,107,6,2,0.02
149,208011168,Beaumaris,1117,0,3,3,0,10,10,0,3,3,0,12,12,108,3,0,3,115,164,10,183,188,40,335,8,0,131,6,488,21168,Beaumaris,161,140,14,7,0.04
150,208011169,Brighton (Vic.),1107,8,13,19,13,27,41,0,0,0,11,55,69,136,18,7,14,169,284,18,312,317,60,526,19,0,231,11,845,21169,Brighton (Vic.),221,184,23,14,0.06
151,208011170,Brighton East,1100,0,6,9,9,25,32,0,0,0,9,42,47,110,12,4,10,131,286,24,309,318,50,484,22,0,171,8,708,21170,Brighton East,199,175,15,9,0.05
152,208011171,Cheltenham - Highett (West),1070,0,7,10,0,13,15,0,0,0,0,40,38,87,12,5,4,99,267,15,284,289,76,455,15,0,176,8,684,21171,Cheltenham - Highett (West),184,164,15,5,0.03
153,208011172,Hampton,1078,3,3,5,3,16,24,0,3,3,6,58,60,119,9,11,5,144,284,24,312,321,94,548,14,3,266,9,858,21172,Hampton,207,174,21,12,0.06
154,208011173,Sandringham - Black Rock,1104,3,4,8,3,13,20,0,0,0,5,38,43,101,14,0,3,121,205,14,223,227,84,433,7,0,200,12,663,21173,Sandringham - Black Rock,160,147,11,2,0.01
155,208021174,Bentleigh - McKinnon,1069,3,12,18,3,37,37,0,0,0,11,62,70,152,23,0,3,181,399,25,435,450,122,744,24,3,283,19,1111,21174,Bentleigh - McKinnon,279,239,28,12,0.04
156,208021176,Carnegie,1062,3,3,8,3,20,28,0,0,3,9,32,41,139,12,4,3,167,266,33,304,308,83,552,43,0,305,15,967,21176,Carnegie,163,127,23,13,0.08
157,208021177,Caulfield - North,1087,7,8,9,6,33,40,0,0,0,11,52,67,104,10,4,8,128,376,55,446,473,93,671,25,9,335,29,1145,21177,Caulfield - North,163,131,20,12,0.07
158,208021178,Caulfield - South,1087,8,3,5,10,17,21,0,3,3,10,34,39,130,12,3,7,155,365,30,401,422,77,620,6,0,215,13,896,21178,Caulfield - South,162,119,27,16,0.1
159,208021179,Elsternwick,1090,4,5,11,4,17,17,0,0,0,4,24,28,84,13,3,3,104,199,19,224,236,70,395,12,0,140,10,585,21179,Elsternwick,93,80,10,3,0.03
160,208021180,Hughesdale,1043,0,3,7,4,8,15,0,3,3,4,23,25,63,3,3,4,76,114,12,126,125,41,244,17,0,132,3,406,21180,Hughesdale,88,76,7,5,0.06
161,208021181,Murrumbeena,1073,0,6,6,0,9,9,0,0,0,0,14,10,70,10,3,9,84,172,15,187,193,47,305,23,0,132,3,489,21181,Murrumbeena,87,72,12,3,0.03
162,208021182,Ormond - Glen Huntly,1064,4,12,17,7,22,32,0,0,0,5,31,39,115,14,10,8,151,170,22,188,190,61,384,37,0,197,9,660,21182,Ormond - Glen Huntly,135,107,18,10,0.07
163,208021426,Bentleigh East (North),1065,6,6,12,8,26,27,0,3,3,6,55,58,128,18,4,13,167,266,25,295,309,82,537,27,3,175,9,788,21426,Bentleigh East (North),159,126,19,14,0.09
164,208021427,Bentleigh East (South),1065,4,16,18,3,34,40,0,0,0,3,54,58,129,19,4,7,160,278,28,309,316,72,536,8,0,217,4,804,21427,Bentleigh East (South),188,159,18,11,0.06
165,208031183,Aspendale Gardens - Waterways,1088,0,10,11,3,15,20,0,0,0,3,22,23,60,7,5,4,80,179,7,184,196,46,305,13,0,126,6,463,21183,Aspendale Gardens - Waterways,128,104,14,10,0.08
166,208031185,Carrum - Patterson Lakes,1050,3,8,6,6,27,31,0,3,3,7,74,76,56,12,7,4,74,197,14,214,215,52,338,11,0,140,5,514,21185,Carrum - Patterson Lakes,144,121,19,4,0.03
167,208031186,Chelsea - Bonbeach,1033,0,6,11,3,27,28,0,3,3,5,72,82,88,14,0,3,113,286,33,327,336,86,526,11,0,256,12,818,21186,Chelsea - Bonbeach,177,151,19,7,0.04
168,208031187,Chelsea Heights,1039,0,3,3,0,6,12,0,0,0,0,20,26,35,8,0,0,44,140,14,151,157,31,228,5,0,65,3,311,21187,Chelsea Heights,75,62,8,5,0.07
169,208031188,Cheltenham - Highett (East),1048,3,24,25,3,44,50,0,0,3,5,79,85,176,26,3,4,216,392,36,437,451,125,774,21,0,340,19,1205,21188,Cheltenham - Highett (East),253,206,36,11,0.04
170,208031189,Edithvale - Aspendale,1078,0,9,10,0,38,35,0,0,0,0,56,60,81,6,0,3,92,313,15,337,346,62,485,15,0,189,3,718,21189,Edithvale - Aspendale,157,121,22,14,0.09
171,208031190,Mentone,1061,0,9,12,0,23,28,0,3,3,3,37,42,81,4,3,8,100,198,14,218,222,59,362,9,3,180,11,591,21190,Mentone,135,116,15,4,0.03
172,208041194,Malvern - Glen Iris,1105,8,14,18,8,30,30,0,0,0,8,48,49,122,10,7,4,148,284,15,303,305,81,521,23,3,258,13,845,21194,Malvern - Glen Iris,151,121,18,12,0.08
173,208041195,Malvern East,1092,5,0,5,5,19,27,0,4,4,5,36,39,144,15,5,7,169,373,16,397,405,91,652,22,4,244,6,960,21195,Malvern East,213,173,26,14,0.07
174,209011196,Bundoora - East,1023,0,4,4,3,19,21,0,0,0,3,46,48,46,6,0,0,54,134,11,148,148,48,249,13,0,160,24,464,21196,Bundoora - East,82,61,14,7,0.09
175,209011197,Greensborough,1070,4,11,13,5,35,46,0,0,0,6,84,89,115,17,0,3,148,421,59,488,492,146,782,20,0,260,4,1097,21197,Greensborough,241,208,26,7,0.03
176,209011198,Heidelberg - Rosanna,1077,3,10,16,3,17,24,0,0,0,3,43,48,92,22,6,9,128,332,22,367,378,104,587,22,0,234,16,899,21198,Heidelberg - Rosanna,196,165,24,7,0.04
177,209011199,Heidelberg West,931,0,13,15,3,35,45,0,9,9,7,140,147,69,28,4,6,101,179,34,220,228,70,389,11,8,256,49,757,21199,Heidelberg West,167,127,23,17,0.1
178,209011200,Ivanhoe,1089,0,3,3,0,14,14,0,3,3,0,21,21,80,11,3,0,97,167,20,188,195,46,329,11,0,128,10,505,21200,Ivanhoe,115,98,13,4,0.03
179,209011201,Ivanhoe East - Eaglemont,1121,0,4,4,0,11,11,0,0,0,0,10,10,39,3,0,3,46,116,5,123,133,20,190,3,0,83,3,295,21201,Ivanhoe East - Eaglemont,86,81,2,3,0.03
180,209011202,Montmorency - Briar Hill,1087,0,3,8,3,22,28,0,3,3,3,51,57,91,5,3,10,109,410,34,449,457,108,664,14,0,221,6,934,21202,Montmorency - Briar Hill,197,152,21,24,0.12
181,209011203,Viewbank - Yallambie,1067,3,11,8,5,32,39,0,3,3,11,62,72,132,19,9,7,165,381,32,419,423,97,677,26,5,296,13,1053,21203,Viewbank - Yallambie,243,205,28,10,0.04
182,209011204,Watsonia,1036,0,8,8,0,13,13,0,0,0,0,37,37,56,6,4,3,64,194,14,214,224,63,337,14,0,127,11,513,21204,Watsonia,104,82,12,10,0.1
183,209021205,Kingsbury,1014,0,3,5,0,17,18,0,0,0,0,32,38,49,5,0,9,65,114,9,129,129,18,198,10,5,104,38,381,21205,Kingsbury,88,73,9,6,0.07
184,209021207,Reservoir - East,940,8,17,21,4,63,63,0,5,5,13,210,224,126,30,4,12,178,306,81,388,408,75,642,47,8,471,120,1382,21207,Reservoir - East,284,212,44,28,0.1
185,209021208,Reservoir - West,966,3,21,26,9,52,55,0,10,10,19,125,140,139,23,11,11,182,324,56,386,404,103,652,37,6,431,149,1376,21208,Reservoir - West,269,222,31,16,0.06
186,209021428,Preston - East,979,7,9,13,10,31,41,0,3,3,14,94,106,87,25,0,11,120,266,40,310,324,89,511,21,3,227,97,905,21428,Preston - East,196,156,24,16,0.08
187,209021429,Preston - West,1029,0,7,8,0,25,31,0,4,4,0,49,52,54,11,3,7,77,223,33,257,271,67,394,10,0,208,20,666,21429,Preston - West,186,148,24,14,0.08
188,209031209,Eltham,1104,3,10,15,3,34,33,0,0,0,3,52,56,121,22,0,12,155,443,29,486,502,135,780,14,0,276,8,1114,21209,Eltham,265,218,25,22,0.08
189,209031210,Hurstbridge,1072,0,5,5,0,3,3,0,0,0,0,9,11,11,0,0,0,17,61,22,89,90,7,115,0,0,45,7,166,21210,Hurstbridge,54,45,7,2,0.04
190,209031211,Kinglake,1031,0,0,0,0,3,4,0,0,0,7,12,14,14,5,0,0,19,56,4,63,61,17,91,0,0,70,3,175,21211,Kinglake,45,36,7,2,0.04
191,209031212,Panton Hill - St Andrews,1092,0,3,3,0,7,7,0,0,0,0,16,16,19,3,0,0,25,45,3,49,49,18,97,0,0,50,0,150,21212,Panton Hill - St Andrews,36,34,1,1,0.03
192,209031213,Plenty - Yarrambat,1101,0,0,3,0,8,10,0,0,0,0,24,28,62,10,0,3,74,170,9,176,184,32,290,3,0,100,3,404,21213,Plenty - Yarrambat,106,96,5,5,0.05
193,209031214,Research - North Warrandyte,1117,0,3,4,0,9,9,0,0,0,0,11,17,35,8,0,0,39,127,18,149,152,33,228,5,0,77,9,325,21214,Research - North Warrandyte,81,74,6,1,0.01
194,209031215,Wattle Glen - Diamond Creek,1091,10,7,13,6,26,33,0,3,3,9,36,48,81,4,0,3,90,261,15,290,300,76,460,6,0,182,5,665,21215,Wattle Glen - Diamond Creek,162,135,18,9,0.06
195,209041216,Bundoora - North,1044,3,3,3,3,6,10,0,0,0,3,13,17,44,3,3,8,58,97,7,106,109,34,188,6,3,108,41,369,21216,Bundoora - North,60,47,12,1,0.02
196,209041217,Bundoora - West,980,0,0,0,0,9,11,0,0,0,3,28,30,39,6,3,3,50,62,7,65,67,23,134,8,0,85,21,263,21217,Bundoora - West,42,31,9,2,0.05
197,209041219,Lalor,897,7,15,23,9,44,56,4,9,16,19,173,194,146,16,3,7,186,178,32,216,225,68,466,43,12,499,153,1270,21219,Lalor,239,169,49,21,0.09
198,209041220,Mill Park - North,1022,6,10,17,5,36,41,0,0,0,6,97,105,73,12,5,3,98,179,18,210,214,59,367,28,3,274,43,746,21220,Mill Park - North,164,131,25,8,0.05
199,209041221,Mill Park - South,1002,3,3,7,3,28,30,0,12,8,7,73,79,57,11,3,0,78,131,26,162,169,46,289,18,8,223,48,626,21221,Mill Park - South,124,101,20,3,0.02
200,209041223,Thomastown,879,3,11,12,5,43,47,0,12,8,7,172,183,85,18,12,12,125,119,36,155,163,40,312,34,8,372,141,964,21223,Thomastown,199,144,30,25,0.13
201,209041224,Wallan,1024,7,21,26,7,53,61,0,9,11,12,158,174,126,19,0,9,155,300,27,336,337,104,586,27,8,325,30,1027,21224,Wallan,284,231,33,20,0.07
202,209041225,Whittlesea,1025,4,4,7,4,12,18,0,0,0,4,46,45,43,0,0,3,46,132,13,138,143,34,223,3,0,115,7,364,21225,Whittlesea,81,63,9,9,0.11
203,209041430,Doreen,1060,6,20,23,10,76,90,0,14,15,17,222,241,225,16,8,14,272,709,42,767,780,241,1267,43,0,597,23,2011,21430,Doreen,456,370,51,35,0.08
204,209041431,Epping - East,979,0,10,14,0,25,22,0,6,8,4,99,101,107,13,5,3,122,168,13,186,192,54,355,30,3,275,55,780,21431,Epping - East,171,119,37,15,0.09
205,209041432,Epping - South,934,0,11,13,3,21,23,0,9,9,4,76,81,43,6,7,4,67,79,9,86,97,7,159,15,0,163,50,438,21432,Epping - South,101,80,10,11,0.11
206,209041433,Epping - West,1008,5,17,20,5,50,55,0,4,7,9,97,106,148,24,12,12,197,249,44,299,314,82,574,45,6,373,56,1116,21433,Epping - West,261,188,46,27,0.1
207,209041435,South Morang (North),1060,0,9,13,0,25,26,0,0,0,5,66,68,121,26,3,8,164,302,30,341,338,75,565,32,0,292,22,947,21435,South Morang (North),208,179,20,9,0.04
208,209041436,South Morang (South),1025,3,9,10,4,25,28,4,3,4,6,73,77,83,12,3,5,103,204,11,227,238,54,385,22,3,195,29,669,21436,South Morang (South),147,110,22,15,0.1
209,210011228,Keilor,1049,3,3,6,3,18,20,0,0,0,3,28,28,48,6,0,3,60,115,9,133,133,22,217,11,0,114,10,363,21228,Keilor,76,63,9,4,0.05
210,210011229,Keilor East,1017,8,9,17,5,38,43,0,6,6,11,91,95,172,13,4,10,202,403,31,451,456,139,781,21,0,372,42,1269,21229,Keilor East,283,217,28,38,0.13
211,210011230,Niddrie - Essendon West,1059,0,0,0,0,9,9,0,0,0,0,23,23,51,3,0,0,55,119,6,132,135,48,231,0,0,112,13,366,21230,Niddrie - Essendon West,59,50,7,2,0.03
212,210011231,Strathmore,1097,3,3,10,3,5,12,0,0,0,3,15,12,67,3,0,3,76,172,0,175,179,50,293,12,0,101,3,415,21231,Strathmore,134,107,20,7,0.05
213,210021232,Gisborne,1083,0,8,9,0,33,38,0,0,0,0,51,51,84,4,0,0,94,323,24,352,361,89,537,8,0,228,6,801,21232,Gisborne,223,178,28,17,0.08
214,210021233,Macedon,1103,0,0,3,0,0,7,0,0,0,0,11,7,8,3,0,4,21,64,5,69,72,11,93,3,0,46,4,159,21233,Macedon,32,25,6,1,0.03
215,210021234,Riddells Creek,1083,3,0,3,3,7,8,0,0,0,3,9,14,24,0,0,0,24,68,3,70,70,30,125,0,0,45,0,176,21234,Riddells Creek,57,44,9,4,0.07
216,210021235,Romsey,1041,4,7,11,5,17,23,0,0,0,5,56,57,44,3,0,3,56,142,14,157,162,53,264,8,0,157,8,449,21235,Romsey,122,96,16,10,0.08
217,210031236,Coburg North,1004,0,3,3,0,12,11,0,0,0,3,25,30,62,14,0,5,85,141,28,169,177,55,306,5,0,128,22,494,21236,Coburg North,95,76,7,12,0.13
218,210031237,Fawkner,916,0,5,6,4,24,27,3,5,5,11,69,78,61,16,0,6,90,141,28,176,188,34,291,45,3,469,89,970,21237,Fawkner,220,161,30,29,0.13
219,210031239,Pascoe Vale,1034,11,15,21,13,46,53,0,3,3,11,92,103,154,19,3,3,184,409,39,455,470,149,790,37,10,442,42,1360,21239,Pascoe Vale,256,198,34,24,0.09
220,210031438,Glenroy,949,7,8,15,7,35,43,0,12,9,14,131,138,140,24,10,12,183,241,38,284,305,70,528,45,4,546,120,1351,21438,Glenroy,300,207,46,47,0.16
221,210031439,Gowanbrae,1074,0,4,4,0,9,9,0,0,0,0,16,16,29,0,0,0,38,73,11,80,82,18,127,6,0,45,0,189,21439,Gowanbrae,27,21,6,0,0.0
222,210031440,Hadfield,948,0,3,3,0,13,19,0,3,3,3,51,47,31,8,0,0,41,54,10,68,77,24,137,11,3,114,9,299,21440,Hadfield,77,55,15,7,0.09
223,210041240,Sunbury,1044,0,6,8,0,36,36,0,3,3,3,85,90,91,7,0,3,103,204,25,239,249,57,397,18,3,164,10,615,21240,Sunbury,169,141,20,8,0.05
224,210041241,Sunbury - South,1020,0,33,33,3,106,110,0,12,14,6,252,260,172,20,6,10,210,474,45,524,535,150,885,29,0,437,41,1441,21241,Sunbury - South,336,264,50,22,0.07
225,210051242,Broadmeadows,782,0,11,11,0,28,28,0,14,14,4,187,185,45,22,8,11,81,51,17,76,84,19,166,13,9,324,164,765,21242,Broadmeadows,205,131,36,38,0.19
226,210051243,Campbellfield - Coolaroo,798,0,15,15,3,35,34,0,9,9,7,162,176,43,12,0,14,71,53,21,76,92,12,154,23,5,442,229,955,21243,Campbellfield - Coolaroo,228,135,35,58,0.25
227,210051245,Gladstone Park - Westmeadows,993,3,17,15,7,45,49,0,5,5,6,111,123,72,7,0,9,89,223,20,241,254,70,401,6,3,281,27,763,21245,Gladstone Park - Westmeadows,201,136,38,27,0.13
228,210051246,Greenvale - Bulla,1058,8,12,16,8,25,34,0,0,0,3,58,66,99,13,0,4,121,242,16,268,279,75,470,22,3,325,41,888,21246,Greenvale - Bulla,166,124,23,19,0.11
229,210051247,Meadow Heights,821,3,9,15,10,26,39,0,10,10,14,160,171,31,10,0,15,53,57,7,67,79,18,130,20,4,363,241,846,21247,Meadow Heights,239,162,37,40,0.17
230,210051249,Roxburgh Park - Somerton,905,6,16,18,6,34,46,3,5,10,15,163,178,100,29,3,10,155,130,30,161,188,32,342,21,11,629,267,1390,21249,Roxburgh Park - Somerton,338,227,59,52,0.15
231,210051441,Craigieburn - Central,942,0,5,9,3,16,20,0,4,5,3,79,84,42,12,3,4,60,92,18,109,117,12,184,21,3,228,43,517,21441,Craigieburn - Central,129,71,27,31,0.24
232,210051443,Craigieburn - South,967,5,16,18,6,42,43,0,5,10,9,146,155,144,31,10,12,195,203,53,260,269,61,510,60,4,424,107,1176,21443,Craigieburn - South,302,222,45,35,0.12
233,210051444,Craigieburn - West,979,3,17,18,12,43,57,3,6,10,16,159,178,214,26,6,12,266,316,55,382,407,118,757,64,6,568,110,1591,21444,Craigieburn - West,420,304,71,45,0.11
234,211011251,Bayswater,1005,3,11,17,7,33,39,0,4,4,11,94,100,74,8,4,4,90,196,23,228,236,64,373,15,0,223,11,657,21251,Bayswater,112,82,20,10,0.09
235,211011254,Knoxfield - Scoresby,1051,0,7,9,6,26,36,0,0,0,11,73,80,109,12,6,8,137,232,23,258,265,68,457,15,0,276,6,795,21254,Knoxfield - Scoresby,184,156,19,9,0.05
236,211011255,Lysterfield,1104,0,3,4,0,11,13,0,0,0,3,15,18,23,3,0,0,27,98,9,105,106,20,152,4,0,88,0,255,21255,Lysterfield,51,41,5,5,0.1
237,211011256,Rowville - Central,1067,3,9,15,3,20,24,0,5,5,4,51,59,110,14,7,10,136,210,26,235,245,80,447,14,3,224,17,741,21256,Rowville - Central,138,107,24,7,0.05
238,211011257,Rowville - North,1080,0,3,3,0,12,12,0,3,3,3,30,35,72,6,0,5,81,128,8,144,149,51,268,15,4,112,6,422,21257,Rowville - North,92,75,11,6,0.07
239,211011258,Rowville - South,1090,0,3,3,0,5,9,0,3,3,0,24,23,81,4,5,3,100,153,21,177,180,47,309,14,0,133,9,487,21258,Rowville - South,75,62,9,4,0.05
240,211011259,Wantirna,1053,0,7,11,3,20,21,0,3,3,3,61,64,84,12,3,4,101,206,20,224,231,42,363,21,3,195,9,621,21259,Wantirna,158,129,14,15,0.09
241,211011260,Wantirna South,1056,4,17,20,4,35,36,0,3,3,9,72,80,83,12,5,3,107,184,23,218,224,50,374,20,0,215,18,662,21260,Wantirna South,156,126,16,14,0.09
242,211011446,Boronia,1014,10,9,17,7,52,64,0,6,7,17,165,179,126,14,4,17,160,348,33,389,410,119,666,27,3,405,24,1189,21446,Boronia,227,170,41,16,0.07
243,211011447,Ferntree Gully (North),1021,3,18,18,8,51,59,0,3,3,10,87,100,79,9,7,12,106,238,22,271,276,78,439,23,0,211,5,717,21447,Ferntree Gully (North),165,141,16,8,0.05
244,211011448,Ferntree Gully (South) - Upper Ferntree Gully,1043,3,9,14,8,28,31,0,0,4,7,89,94,64,11,0,9,94,273,23,301,316,91,478,15,0,205,13,751,21448,Ferntree Gully (South) - Upper Ferntree,167,143,15,9,0.05
245,211011449,The Basin,1058,0,0,0,0,5,5,0,0,0,0,23,22,23,11,0,0,39,89,5,101,101,35,169,0,0,58,4,242,21449,The Basin,58,47,7,4,0.07
246,211021261,Donvale - Park Orchards,1095,7,9,14,8,20,28,0,0,0,8,38,47,73,11,0,0,84,219,30,254,263,68,405,12,0,189,5,645,21261,Donvale - Park Orchards,158,130,16,12,0.08
247,211021262,Warrandyte - Wonga Park,1107,0,0,0,0,6,6,0,0,0,0,17,17,40,6,0,0,52,125,6,131,137,23,209,4,0,92,4,314,21262,Warrandyte - Wonga Park,93,76,12,5,0.05
248,211031263,Bayswater North,1034,4,6,8,4,28,31,0,0,0,4,73,77,74,13,4,3,96,229,27,266,272,77,435,14,3,194,9,668,21263,Bayswater North,138,117,17,4,0.03
249,211031265,Croydon Hills - Warranwood,1093,0,5,5,0,33,30,0,0,0,0,66,61,72,19,5,0,106,365,25,405,411,95,601,19,4,224,3,875,21265,Croydon Hills - Warranwood,221,188,23,10,0.05
250,211031266,Ringwood,1012,3,10,16,3,28,29,0,8,5,7,86,90,92,14,5,4,115,307,33,340,355,91,547,34,10,302,48,996,21266,Ringwood,212,181,22,9,0.04
251,211031267,Ringwood East,1051,0,18,17,5,36,38,0,6,6,7,99,101,133,19,3,8,162,400,29,439,452,140,741,26,0,380,32,1208,21267,Ringwood East,258,199,40,19,0.07
252,211031268,Ringwood North,1095,0,3,3,0,18,18,0,0,0,0,23,23,74,3,0,7,90,172,12,181,185,55,330,4,0,123,3,480,21268,Ringwood North,128,108,15,5,0.04
253,211031450,Croydon - East,1005,5,7,9,11,43,52,0,3,3,13,107,120,88,11,3,0,114,309,25,343,346,89,536,21,0,289,26,917,21450,Croydon - East,138,95,25,18,0.13
254,211031451,Croydon - West,1033,0,4,4,0,35,38,0,3,3,3,92,93,77,8,0,3,86,246,22,268,269,65,415,18,0,227,13,693,21451,Croydon - West,131,107,17,7,0.05
255,211031452,Croydon South,1044,3,5,5,3,15,12,0,3,3,3,27,32,30,4,0,3,36,110,5,117,120,31,184,6,0,83,14,300,21452,Croydon South,41,29,6,6,0.15
256,211041269,Forest Hill,1029,0,0,0,0,12,15,0,0,0,0,39,40,73,14,0,6,95,147,18,170,184,36,291,10,0,170,9,519,21269,Forest Hill,112,96,13,3,0.03
257,211041270,Mitcham (Vic.),1063,5,7,14,5,21,25,0,0,0,3,54,59,145,10,6,22,186,297,31,325,336,100,589,30,0,306,24,1001,21270,Mitcham (Vic.),205,166,21,18,0.09
258,211041271,Nunawading,1045,0,6,11,3,25,27,0,0,0,3,41,43,79,4,0,7,93,254,25,293,297,58,438,18,0,186,17,678,21271,Nunawading,147,111,25,11,0.07
259,211041272,Vermont,1069,4,6,10,4,19,19,0,0,3,3,29,38,79,8,4,3,94,183,16,198,204,47,340,8,0,177,12,563,21272,Vermont,138,106,23,9,0.07
260,211041273,Vermont South,1071,0,4,8,0,9,7,3,0,5,4,31,35,76,6,5,3,96,93,22,114,113,25,230,7,3,122,10,397,21273,Vermont South,70,61,8,1,0.01
261,211051274,Belgrave - Selby,1074,0,6,5,0,20,23,0,6,6,3,45,47,58,4,3,4,71,191,32,223,232,49,340,7,0,144,8,517,21274,Belgrave - Selby,100,80,14,6,0.06
262,211051275,Chirnside Park,1059,0,0,0,0,21,22,0,0,0,3,45,53,49,8,3,3,62,199,11,219,219,38,319,7,0,151,3,490,21275,Chirnside Park,132,103,20,9,0.07
263,211051276,Healesville - Yarra Glen,1018,3,10,12,3,33,36,0,4,5,6,92,95,64,8,3,0,75,233,18,253,260,49,386,14,0,188,5,608,21276,Healesville - Yarra Glen,162,120,30,12,0.07
264,211051277,Kilsyth,1017,0,7,3,0,26,24,0,0,0,0,55,58,33,7,0,4,39,194,11,210,214,47,300,17,0,138,5,477,21277,Kilsyth,98,82,11,5,0.05
