,SA2_MAINCODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,Male_Lone_Parent_Employed_Worked_Full_Time,Male_Lone_Parent_Employed_Worked_Part_Time,Male_Lone_Parent_Employed_Away_From_Work,Male_Lone_Parent_Hours_Worked_Not_Stated,Male_Lone_Parent_Total_Employed,Male_Lone_Parent_Unemployed_Looking_For_Full_Time_Work,Male_Lone_Parent_Unemployed_Looking_For_Part_Time_Work,Male_Lone_Parent_Total_Unemployed,Male_Lone_Parent_Total_Labour_Force,Male_Lone_Parent_Not_In_The_Labour_Force,Male_Lone_Parent_Labour_Force_Status_Not_Stated,Male_Lone_Parent_Total,Female_Lone_Parent_Employed_Worked_Full_Time,Female_Lone_Parent_Employed_Worked_Part_Time,Female_Lone_Parent_Employed_Away_From_Work,Female_Lone_Parent_Hours_Worked_Not_Stated,Female_Lone_Parent_Total_Employed,Female_Lone_Parent_Unemployed_Looking_For_Full_Time_Work,Female_Lone_Parent_Unemployed_Looking_For_Part_Time_Work,Female_Lone_Parent_Total_Unemployed,Female_Lone_Parent_Total_Labour_Force,Female_Lone_Parent_Not_In_The_Labour_Force,Female_Lone_Parent_Labour_Force_Status_Not_Stated,Female_Lone_Parent_Total,Total_Lone_Parents_Employed_Worked_Full_Time,Total_Lone_Parents_Employed_Worked_Part_Time,Total_Lone_Parents_Employed_Away_From_Work,Total_Lone_Parents_Hours_Worked_Not_Stated,Total_Lone_Parents_Total_Employed,Total_Lone_Parents_Unemployed_Looking_For_Full_Time_Work,Total_Lone_Parents_Unemployed_Looking_For_Part_Time_Work,Total_Lone_Parents_Total_Unemployed,Total_Lone_Parents_Total_Labour_Force,Total_Lone_Parents_Not_In_The_Labour_Force,Total_Lone_Parents_Labour_Force_Status_Not_Stated,Total_Lone_Parents_Total,SA2_name,Index of Relative Socio-economic Disadvantage_score,Index of Relative Socio-economic Disadvantage_decile,Index of Relative Socio-economic Adv and Disadv_score,Index of Relative Socio-economic Adv and Disadv_decile,Index of Economic Resources_score,Index of Economic Resources_decile,Index of Education and Occupation_score,Index of Education and Occupation_decile,Usual Resident Population,code,name,total,vulnerable,vulnerable_percentage
95,206011108,141,34,3,0,174,4,0,6,181,10,0,189,473,63,10,0,549,5,7,10,552,14,0,568,126,14,9,0,150,0,0,0,155,0,0,155,9,0,0,0,14,0,0,0,14,0,0,17,741,117,23,3,888,8,7,15,904,23,0,926,11,3,0,0,10,7,0,7,17,0,0,17,17,3,0,0,22,0,0,0,28,3,0,30,26,7,0,0,35,3,0,3,42,3,0,45,773,128,23,3,921,16,7,21,950,21,0,972,297,73,5,9,382,15,7,22,400,44,0,440,0,0,0,4,4,0,0,0,7,0,0,3,1064,199,27,19,1305,32,14,44,1353,65,0,1417,0,0,0,0,0,0,0,0,3,3,0,3,12,27,4,0,36,3,0,6,47,40,0,83,12,24,4,0,39,4,0,3,49,45,0,90,Coburg,1024,6,1042,7,981,4,1070.0,8.0,26166.0,21108,Coburg,298,20,0.07
96,206011109,78,4,0,0,85,0,0,0,88,11,0,96,182,16,3,0,207,0,0,0,207,3,0,216,50,7,3,0,62,0,0,0,62,0,0,63,0,0,0,3,5,0,0,0,5,0,0,5,315,30,7,3,359,0,0,0,360,11,0,377,3,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,4,0,0,4,320,35,7,3,363,0,0,0,364,11,0,380,144,18,3,0,170,0,0,0,170,11,0,180,0,0,0,0,0,0,0,0,0,0,0,0,466,48,10,5,530,0,0,0,534,21,0,561,3,0,0,0,3,0,0,0,3,0,0,3,3,11,0,0,8,0,3,3,14,16,0,28,6,11,0,0,13,0,3,3,13,16,0,29,Pascoe Vale South,1058,8,1059,8,1034,7,1064.0,8.0,9960.0,21109,Pascoe Vale South,122,14,0.11
97,206021110,46,14,0,0,60,0,0,0,60,7,0,66,146,16,0,0,158,3,0,3,162,0,0,168,31,3,0,0,36,0,0,0,36,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,218,30,3,0,258,3,0,3,261,11,0,265,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,8,0,0,0,8,0,0,8,226,30,3,3,262,3,0,3,265,11,0,278,97,13,0,0,112,0,0,0,112,3,0,119,0,0,0,0,0,0,0,0,0,0,0,0,327,45,3,4,380,5,0,7,385,13,0,395,3,0,0,0,3,0,0,0,3,0,0,3,7,8,0,0,20,0,0,0,17,15,0,30,10,8,0,0,16,0,0,0,19,15,0,34,Alphington - Fairfield,1073,9,1094,9,1005,6,1124.0,9.0,8934.0,21110,Alphington - Fairfield,103,5,0.05
98,206021111,165,33,0,0,200,0,0,0,198,11,0,212,391,94,5,3,491,3,0,3,489,5,0,500,94,14,9,0,114,0,0,0,114,0,0,115,0,0,0,4,3,0,0,0,3,0,0,3,652,134,11,3,802,3,0,5,810,18,3,829,4,0,0,0,4,3,0,3,7,0,0,7,23,0,0,0,23,0,0,0,23,0,0,23,29,0,0,0,29,3,0,3,29,0,0,29,683,134,11,3,830,5,0,11,838,18,3,858,213,32,13,3,259,4,0,4,266,25,0,290,4,0,0,0,4,0,0,0,4,0,0,7,901,166,19,9,1098,14,0,13,1105,45,4,1157,3,0,0,0,3,0,0,0,3,0,0,3,10,28,3,0,45,0,0,4,46,21,0,66,13,32,3,0,47,0,0,4,54,21,0,69,Northcote,1064,8,1094,9,998,5,1133.0,10.0,24667.0,21111,Northcote,268,13,0.05
99,206021112,99,16,5,0,115,0,3,3,122,3,0,127,330,47,5,0,383,3,3,4,389,7,0,392,94,11,3,0,114,0,0,0,113,3,0,113,5,0,0,0,6,0,0,0,6,0,0,6,517,78,13,3,613,3,7,14,627,14,0,642,3,3,0,0,8,0,0,0,8,0,0,8,5,6,0,0,9,0,0,0,9,0,0,9,15,9,0,0,20,0,0,0,20,0,0,20,533,87,13,3,635,3,7,14,646,14,0,660,191,23,4,3,224,6,3,9,235,13,0,248,0,0,0,3,3,0,0,0,3,0,0,7,719,109,19,12,859,15,9,21,885,28,0,914,4,5,0,0,10,0,0,0,10,3,0,9,14,24,6,0,38,0,0,0,41,32,0,79,16,28,6,0,47,0,0,0,52,36,0,86,Thornbury,1038,7,1057,8,965,3,1099.0,9.0,18466.0,21112,Thornbury,183,9,0.05
100,206031113,126,20,0,0,140,4,0,4,147,8,0,156,250,24,3,0,282,0,0,0,282,5,0,282,101,5,4,0,111,3,0,3,108,0,0,108,6,0,0,0,10,0,0,0,10,0,0,10,477,47,6,3,536,6,0,10,547,9,0,558,4,0,0,0,4,0,0,0,3,0,0,3,14,0,0,0,13,0,0,0,13,0,0,11,17,0,0,0,16,0,0,0,19,0,0,16,493,46,6,3,550,8,0,10,564,10,0,571,167,24,0,3,198,9,5,8,210,31,0,245,3,0,0,0,3,0,0,0,3,3,0,3,665,70,10,5,752,13,4,18,775,45,0,826,3,0,0,0,4,0,0,0,4,0,0,3,8,17,0,0,30,9,3,11,39,81,3,117,9,17,0,0,32,9,3,11,38,83,3,121,Ascot Vale,1003,5,1040,7,965,3,1079.0,8.0,14750.0,21113,Ascot Vale,181,12,0.07
101,206031114,164,16,0,0,178,4,0,4,178,7,0,193,365,29,4,3,402,0,0,6,410,4,0,416,117,7,9,0,135,0,0,0,136,3,0,137,6,0,0,3,7,0,0,0,7,0,0,7,648,55,18,6,723,5,0,10,734,19,0,750,13,0,0,0,12,3,0,3,14,0,0,14,17,0,0,0,18,0,0,0,18,0,0,22,28,0,0,0,27,5,0,5,34,0,0,40,675,57,14,6,753,15,0,18,771,20,0,784,264,38,3,4,310,10,6,13,324,6,0,338,0,0,0,3,3,0,0,0,3,0,0,3,944,95,15,15,1069,22,3,27,1095,29,0,1130,4,0,0,0,8,0,0,0,4,0,0,4,14,16,3,0,36,3,0,5,38,38,0,73,12,18,3,0,39,6,0,4,45,38,0,82,Essendon - Aberfeldie,1078,9,1085,9,1022,7,1097.0,9.0,27487.0,21114,Essendon - Aberfeldie,290,17,0.06
102,206031115,37,12,3,0,51,0,0,0,49,8,0,53,101,19,0,3,118,0,3,3,122,9,0,127,30,5,3,0,39,0,0,0,40,0,0,43,0,0,0,0,3,0,0,0,3,0,0,3,167,32,5,3,212,4,3,10,215,12,0,229,4,0,0,0,4,0,0,0,5,0,3,11,7,4,0,0,12,3,3,8,19,0,0,19,12,3,0,0,14,3,3,9,22,0,3,26,178,36,5,3,221,6,5,13,239,15,3,254,77,30,0,3,109,23,3,23,131,36,0,170,3,0,0,0,3,0,0,0,4,4,0,6,255,66,4,5,332,28,7,42,372,55,3,435,0,3,0,0,4,0,0,0,4,5,0,7,3,16,0,3,25,0,3,5,26,73,0,99,9,17,0,3,31,0,3,5,35,77,0,111,Flemington,904,2,957,4,832,1,1030.0,7.0,10115.0,21115,Flemington,92,13,0.14
103,206031116,93,7,0,0,102,3,0,0,105,14,0,114,219,27,0,0,246,4,0,3,251,8,0,256,70,3,11,3,88,0,0,0,85,0,0,85,0,0,0,0,3,0,0,0,3,0,0,3,377,39,16,4,434,4,3,7,442,19,0,461,3,6,0,0,9,0,0,0,9,0,0,9,13,0,0,0,13,0,0,0,13,0,0,13,9,6,0,0,19,0,0,0,19,0,0,19,388,42,16,4,452,4,3,7,459,19,0,478,173,12,0,4,190,3,0,3,194,6,0,200,0,0,0,3,3,0,0,0,3,0,0,3,562,54,16,14,645,10,3,9,655,30,3,683,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,10,0,0,3,12,11,0,28,3,7,0,0,13,0,0,3,17,11,0,32,Moonee Ponds,1069,9,1089,9,1008,6,1108.0,9.0,14250.0,21116,Moonee Ponds,165,8,0.05
104,206041117,39,3,0,0,41,0,0,0,44,3,0,45,48,8,0,0,57,0,0,0,57,4,0,59,11,3,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,95,16,0,0,114,0,0,0,117,6,0,120,4,0,0,0,5,0,0,0,5,0,0,5,8,0,0,0,8,0,0,0,8,0,0,8,14,0,0,0,11,0,0,0,12,0,0,12,108,17,0,0,125,4,0,4,127,6,0,141,62,23,0,3,92,6,11,20,105,42,0,147,0,0,0,0,0,0,0,0,0,6,0,3,171,45,7,3,222,10,11,17,237,49,0,294,0,0,0,0,0,0,0,0,0,3,0,3,7,5,0,0,18,0,4,4,21,53,3,80,7,5,0,0,18,0,4,4,21,60,5,84,Carlton,928,2,1008,6,733,1,1119.0,9.0,19001.0,21117,Carlton,74,9,0.12
105,206041118,79,9,0,0,87,3,0,3,92,0,0,95,50,5,0,0,58,0,0,0,61,0,0,60,16,7,12,0,31,0,0,0,31,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,144,22,14,0,179,4,0,4,186,3,0,189,15,0,0,0,15,3,0,3,17,0,0,17,8,3,0,0,8,0,0,0,8,0,0,8,24,3,0,0,26,3,0,3,28,0,0,28,165,19,14,0,200,3,0,3,211,3,0,215,178,12,0,4,189,3,3,9,197,29,0,225,0,0,0,0,0,0,0,0,0,0,0,0,341,28,14,9,393,11,3,15,403,30,0,435,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,22,0,0,0,19,11,0,27,14,0,3,0,22,0,0,0,19,11,0,27,Docklands,1060,8,1119,10,889,1,1179.0,10.0,10965.0,21118,Docklands,61,7,0.11
106,206041123,61,11,3,0,77,3,3,6,80,4,0,84,111,27,3,0,144,4,0,4,145,9,0,154,33,7,9,0,52,0,0,0,54,4,0,54,3,0,0,3,8,0,0,0,6,0,0,6,212,48,13,11,277,9,3,10,288,16,0,300,6,0,0,0,6,0,0,0,6,0,0,8,9,0,0,0,8,0,0,0,8,0,0,12,13,0,0,0,17,0,0,0,17,0,0,19,226,49,13,11,289,9,3,10,303,18,0,318,114,31,9,0,152,11,0,12,166,31,0,191,0,0,0,0,3,0,0,0,3,3,10,15,341,81,21,11,448,14,3,17,474,48,10,529,7,0,0,0,8,0,0,0,4,0,0,10,12,12,0,0,26,0,3,3,27,71,4,111,16,11,0,3,30,0,3,3,35,72,4,117,North Melbourne,989,5,1047,8,834,1,1131.0,10.0,20637.0,21123,North Melbourne,133,13,0.1
107,206041124,26,3,0,0,31,0,0,0,33,0,0,32,47,4,0,0,49,0,0,0,49,3,0,50,3,0,0,3,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,76,3,0,0,87,0,0,0,87,8,0,91,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,3,7,0,0,7,6,0,0,0,6,0,3,3,9,0,0,9,77,3,0,0,88,0,3,7,95,8,0,94,29,13,0,0,35,4,0,4,42,7,0,53,0,0,0,0,0,0,0,0,0,0,0,0,105,18,3,0,126,4,3,5,135,16,0,147,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,4,9,0,12,3,3,0,0,6,0,0,0,6,9,0,16,Parkville,1058,8,1098,9,912,1,1169.0,10.0,7409.0,21124,Parkville,33,1,0.03
108,206041125,26,0,0,0,26,3,0,3,29,3,0,30,43,3,3,0,49,0,0,0,55,0,0,53,5,0,3,0,5,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,78,6,5,0,89,7,0,7,95,3,0,96,3,0,0,0,3,0,0,0,4,0,0,9,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,6,0,0,0,8,0,0,5,80,6,5,0,92,7,0,7,101,5,0,103,30,3,0,0,36,0,0,0,36,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,114,13,5,0,129,7,0,7,134,10,0,145,0,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,6,0,10,4,0,0,0,9,0,0,0,9,6,0,15,South Yarra - West,1112,10,1141,10,972,4,1191.0,10.0,6096.0,21125,South Yarra - West,27,0,0.0
109,206041126,66,8,0,0,66,3,0,3,74,0,0,73,67,6,0,0,77,0,0,0,76,0,0,81,40,8,7,0,48,3,0,3,47,0,0,48,3,0,0,0,5,0,0,0,5,0,0,5,173,16,9,3,196,6,0,6,205,0,0,211,12,0,0,0,11,0,0,0,11,0,0,11,3,4,0,0,7,4,0,4,8,0,0,9,13,4,0,0,16,4,0,4,23,0,0,19,185,17,8,3,216,10,0,11,227,4,0,227,147,20,3,3,168,8,0,9,180,27,0,205,0,0,0,0,0,0,0,0,0,0,0,0,329,38,7,7,382,17,3,18,402,36,0,440,3,0,0,0,4,0,0,0,4,0,0,4,9,5,0,0,18,0,0,0,22,13,0,36,13,9,0,0,25,3,0,3,25,13,0,41,Southbank,1067,9,1117,10,886,1,1167.0,10.0,18669.0,21126,Southbank,46,2,0.04
110,206051128,113,12,3,3,132,3,0,3,132,7,0,141,162,13,5,0,181,0,0,0,181,4,0,181,46,4,7,4,66,0,0,0,66,0,0,66,0,0,0,4,3,0,0,0,3,0,0,3,326,31,15,6,382,3,0,3,384,13,0,395,7,0,0,0,9,0,0,0,9,0,0,9,7,0,0,0,7,3,0,3,11,0,0,11,17,0,0,0,13,3,0,3,20,0,0,20,344,31,15,9,394,6,0,6,401,13,0,416,181,9,0,3,196,3,0,3,197,11,0,212,0,0,0,0,0,0,0,0,0,0,0,0,529,38,11,10,590,11,0,11,596,26,0,624,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,0,13,0,3,3,18,9,0,23,8,3,3,0,15,0,3,3,16,9,0,25,Albert Park,1095,10,1136,10,1013,6,1173.0,10.0,15384.0,21128,Albert Park,161,7,0.04
111,206051129,108,11,0,0,118,0,0,3,116,11,0,131,211,8,0,0,217,3,0,3,225,3,0,229,65,8,4,0,79,0,0,0,78,0,0,80,4,0,0,6,6,0,0,0,6,0,0,6,384,27,4,6,424,7,0,4,430,15,3,445,3,0,0,0,3,0,0,0,3,0,0,3,10,0,0,0,10,0,0,0,12,0,0,12,14,0,0,0,15,4,0,4,14,0,0,14,398,29,4,6,439,6,0,9,444,15,3,458,144,19,3,0,165,0,0,3,170,9,0,180,0,0,0,3,0,0,0,0,0,0,0,7,544,48,12,6,608,10,4,16,619,20,0,643,0,0,0,0,3,0,0,0,3,0,0,3,11,30,3,0,40,0,0,0,42,22,0,64,12,30,3,0,49,0,0,0,47,22,0,72,Elwood,1092,10,1116,10,984,4,1162.0,10.0,15222.0,21129,Elwood,136,7,0.05
112,206051132,74,11,0,3,88,0,0,4,87,5,0,96,131,11,0,0,140,4,0,4,151,0,0,151,49,3,4,0,57,0,0,0,57,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,261,19,4,5,287,9,0,11,297,9,0,311,4,0,0,0,4,0,0,0,7,0,0,7,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,7,0,0,0,10,0,0,10,262,26,4,8,293,8,0,12,310,9,0,314,92,12,3,3,107,4,0,5,113,14,0,120,0,0,0,0,0,0,0,0,0,0,0,0,357,33,7,8,405,13,3,12,415,24,0,438,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,18,0,3,3,19,36,3,56,6,7,0,0,18,0,3,3,19,36,3,56,South Melbourne,1030,7,1083,9,935,2,1149.0,10.0,11550.0,21132,South Melbourne,78,7,0.09
113,206051133,101,12,0,0,110,3,0,3,116,9,0,122,171,31,0,7,206,0,0,0,206,3,0,209,60,12,5,0,77,0,0,3,78,0,0,81,3,0,0,0,3,0,0,0,3,0,0,3,335,57,5,7,404,5,0,6,408,11,0,423,10,3,0,0,12,0,0,0,10,0,0,11,4,0,0,0,7,0,0,3,9,0,0,9,11,4,0,0,11,3,0,3,14,0,0,19,345,61,5,7,418,7,3,9,426,16,0,440,149,12,3,0,170,7,0,9,174,11,0,186,0,0,0,0,0,0,0,0,0,0,3,3,489,72,10,11,584,12,4,15,595,24,3,624,8,3,0,0,10,0,0,0,10,0,0,10,11,5,3,0,21,4,0,4,24,18,0,45,22,10,3,0,34,4,0,4,31,18,0,49,St Kilda,1058,8,1083,9,919,2,1137.0,10.0,26124.0,21133,St Kilda,111,8,0.07
114,206051134,86,9,3,0,101,3,0,3,106,0,0,113,235,66,0,0,302,7,0,5,306,17,0,328,49,15,0,0,66,0,0,0,66,3,0,71,0,0,0,0,0,0,0,0,0,0,3,3,380,85,6,3,476,7,3,13,485,25,3,507,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,9,11,0,0,0,11,0,0,0,11,0,0,11,389,85,6,3,484,8,3,12,495,25,3,518,153,30,0,9,186,3,0,3,195,12,0,208,0,0,0,3,4,0,0,0,4,0,0,4,542,117,8,10,673,12,3,15,693,37,3,729,0,3,0,0,4,0,0,0,4,0,0,4,11,21,3,0,33,0,0,5,36,13,0,53,11,22,3,0,37,0,0,5,36,13,0,55,St Kilda East,1066,8,1086,9,939,2,1141.0,10.0,16417.0,21134,St Kilda East,119,7,0.06
115,206061135,43,7,0,0,47,0,0,0,53,3,0,54,113,11,3,0,128,3,0,3,133,3,0,131,37,4,0,0,39,0,0,0,39,0,0,43,3,0,0,0,3,0,0,0,3,0,3,7,197,24,3,0,223,0,0,0,220,11,3,230,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,12,3,0,13,12,0,0,0,12,0,0,0,12,3,0,13,203,24,3,0,228,0,0,0,232,12,3,243,111,9,0,0,118,0,0,0,119,4,0,124,0,0,0,0,0,0,0,0,0,0,0,0,318,29,3,3,350,4,0,4,353,18,3,375,3,0,0,0,3,0,0,0,3,0,0,3,10,13,0,0,23,0,0,0,23,3,0,30,13,13,0,0,25,0,0,0,25,9,0,33,Armadale,1091,10,1120,10,1001,5,1167.0,10.0,8972.0,21135,Armadale,70,3,0.04
116,206061136,96,13,3,0,108,0,0,0,114,3,0,116,197,10,12,3,221,0,0,5,222,3,0,230,70,0,3,0,76,0,0,0,81,3,0,80,0,0,0,3,3,0,0,0,3,0,0,3,362,26,19,4,413,3,4,9,420,12,0,430,3,0,0,0,3,0,0,0,4,0,0,4,9,0,0,0,9,0,0,0,9,0,0,9,12,0,0,0,12,0,0,0,11,0,0,11,377,26,19,4,419,3,4,6,430,12,0,438,110,16,0,0,125,7,0,7,132,6,0,140,0,0,0,0,0,0,0,0,0,0,0,0,485,42,19,4,548,11,4,12,558,17,0,577,3,0,0,0,3,0,0,0,3,0,0,3,9,12,3,0,26,0,4,5,31,21,0,55,16,12,3,0,23,0,4,5,30,21,0,53,Prahran - Windsor,1072,9,1106,9,950,3,1152.0,10.0,19714.0,21136,Prahran - Windsor,83,8,0.1
117,206061137,82,7,0,0,87,0,0,0,87,0,0,94,111,13,0,0,129,0,0,0,131,3,0,130,50,3,0,0,54,0,0,0,54,0,0,55,0,0,0,3,3,0,0,0,3,0,0,0,243,24,0,3,268,3,0,3,273,3,0,279,6,0,0,0,6,0,0,0,6,0,0,6,9,3,0,0,11,0,0,0,14,0,0,14,16,3,0,0,20,0,0,0,20,0,0,20,255,30,0,3,287,3,0,3,296,3,0,300,158,18,0,0,176,8,4,14,187,16,0,204,0,0,0,0,0,0,0,0,0,0,4,4,414,42,0,7,465,9,6,13,483,26,4,509,0,0,0,0,3,0,0,0,3,0,0,3,11,10,0,0,25,3,0,3,25,36,0,60,14,9,0,0,25,3,0,3,28,36,0,65,South Yarra - East,1061,8,1101,9,908,1,1158.0,10.0,20728.0,21137,South Yarra - East,116,12,0.1
118,206061138,75,3,0,0,78,0,0,0,76,3,0,77,82,12,0,0,92,0,0,0,96,3,0,95,25,3,0,0,25,0,0,0,25,0,0,25,0,0,0,3,3,0,0,0,3,0,0,3,171,20,0,3,199,3,0,3,199,7,0,203,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,176,19,0,3,200,3,0,3,202,7,0,208,96,10,4,3,105,3,0,5,112,6,0,116,0,0,0,0,0,0,0,0,0,0,0,0,274,25,5,6,308,3,0,6,313,13,0,326,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,15,0,0,0,13,15,0,27,9,8,0,0,13,0,0,0,13,15,0,33,Toorak,1112,10,1144,10,1038,8,1183.0,10.0,13050.0,21138,Toorak,63,3,0.05
