Sex,LFSP_C16,Labour force status,ASGS_2016,Region,Value
Males,UEMP,Total Unemployed,206011108,Coburg,0
Females,UEMP,Total Unemployed,206011108,Coburg,6
Persons,UEMP,Total Unemployed,206011108,Coburg,3
Males,LF,Total Labour Force,206011108,Coburg,3
Females,LF,Total Labour Force,206011108,Coburg,47
Persons,LF,Total Labour Force,206011108,Coburg,49
Males,TOT,Total,206011108,Coburg,3
Females,TOT,Total,206011108,Coburg,83
Persons,TOT,Total,206011108,Coburg,90
Males,1,"Employed, worked full-time",206011109,Pascoe Vale South,3
Females,1,"Employed, worked full-time",206011109,Pascoe Vale South,3
Persons,1,"Employed, worked full-time",206011109,Pascoe Vale South,6
Males,2,"Employed, worked part-time",206011109,Pascoe Vale South,0
Females,2,"Employed, worked part-time",206011109,Pascoe Vale South,11
Persons,2,"Employed, worked part-time",206011109,Pascoe Vale South,11
Males,3,"Employed, away from work",206011109,Pascoe Vale South,0
Females,3,"Employed, away from work",206011109,Pascoe Vale South,0
Persons,3,"Employed, away from work",206011109,Pascoe Vale South,0
Males,4,"Employed, hours of work not stated",206011109,Pascoe Vale South,0
Females,4,"Employed, hours of work not stated",206011109,Pascoe Vale South,0
Persons,4,"Employed, hours of work not stated",206011109,Pascoe Vale South,0
Males,5,"Unemployed, looking for full-time work",206011109,Pascoe Vale South,0
Females,5,"Unemployed, looking for full-time work",206011109,Pascoe Vale South,0
Persons,5,"Unemployed, looking for full-time work",206011109,Pascoe Vale South,0
Males,6,"Unemployed, looking for part-time work",206011109,Pascoe Vale South,0
Females,6,"Unemployed, looking for part-time work",206011109,Pascoe Vale South,3
Persons,6,"Unemployed, looking for part-time work",206011109,Pascoe Vale South,3
Males,7,Not in the labour force,206011109,Pascoe Vale South,0
Females,7,Not in the labour force,206011109,Pascoe Vale South,16
Persons,7,Not in the labour force,206011109,Pascoe Vale South,16
Males,Z,Labour force status not stated,206011109,Pascoe Vale South,0
Females,Z,Labour force status not stated,206011109,Pascoe Vale South,0
Persons,Z,Labour force status not stated,206011109,Pascoe Vale South,0
Males,EMP,Total Employed,206011109,Pascoe Vale South,3
Females,EMP,Total Employed,206011109,Pascoe Vale South,8
Persons,EMP,Total Employed,206011109,Pascoe Vale South,13
Males,UEMP,Total Unemployed,206011109,Pascoe Vale South,0
Females,UEMP,Total Unemployed,206011109,Pascoe Vale South,3
Persons,UEMP,Total Unemployed,206011109,Pascoe Vale South,3
Males,LF,Total Labour Force,206011109,Pascoe Vale South,3
Females,LF,Total Labour Force,206011109,Pascoe Vale South,14
Persons,LF,Total Labour Force,206011109,Pascoe Vale South,13
Males,TOT,Total,206011109,Pascoe Vale South,3
Females,TOT,Total,206011109,Pascoe Vale South,28
Persons,TOT,Total,206011109,Pascoe Vale South,29
Males,1,"Employed, worked full-time",206021110,Alphington - Fairfield,3
Females,1,"Employed, worked full-time",206021110,Alphington - Fairfield,7
Persons,1,"Employed, worked full-time",206021110,Alphington - Fairfield,10
Males,2,"Employed, worked part-time",206021110,Alphington - Fairfield,0
Females,2,"Employed, worked part-time",206021110,Alphington - Fairfield,8
Persons,2,"Employed, worked part-time",206021110,Alphington - Fairfield,8
Males,3,"Employed, away from work",206021110,Alphington - Fairfield,0
Females,3,"Employed, away from work",206021110,Alphington - Fairfield,0
Persons,3,"Employed, away from work",206021110,Alphington - Fairfield,0
Males,4,"Employed, hours of work not stated",206021110,Alphington - Fairfield,0
Females,4,"Employed, hours of work not stated",206021110,Alphington - Fairfield,0
Persons,4,"Employed, hours of work not stated",206021110,Alphington - Fairfield,0
Males,5,"Unemployed, looking for full-time work",206021110,Alphington - Fairfield,0
Females,5,"Unemployed, looking for full-time work",206021110,Alphington - Fairfield,0
Persons,5,"Unemployed, looking for full-time work",206021110,Alphington - Fairfield,0
Males,6,"Unemployed, looking for part-time work",206021110,Alphington - Fairfield,0
Females,6,"Unemployed, looking for part-time work",206021110,Alphington - Fairfield,0
Persons,6,"Unemployed, looking for part-time work",206021110,Alphington - Fairfield,0
Males,7,Not in the labour force,206021110,Alphington - Fairfield,0
Females,7,Not in the labour force,206021110,Alphington - Fairfield,15
Persons,7,Not in the labour force,206021110,Alphington - Fairfield,15
Males,Z,Labour force status not stated,206021110,Alphington - Fairfield,0
Females,Z,Labour force status not stated,206021110,Alphington - Fairfield,0
Persons,Z,Labour force status not stated,206021110,Alphington - Fairfield,0
Males,EMP,Total Employed,206021110,Alphington - Fairfield,3
Females,EMP,Total Employed,206021110,Alphington - Fairfield,20
Persons,EMP,Total Employed,206021110,Alphington - Fairfield,16
Males,UEMP,Total Unemployed,206021110,Alphington - Fairfield,0
Females,UEMP,Total Unemployed,206021110,Alphington - Fairfield,0
Persons,UEMP,Total Unemployed,206021110,Alphington - Fairfield,0
Males,LF,Total Labour Force,206021110,Alphington - Fairfield,3
Females,LF,Total Labour Force,206021110,Alphington - Fairfield,17
Persons,LF,Total Labour Force,206021110,Alphington - Fairfield,19
Males,TOT,Total,206021110,Alphington - Fairfield,3
Females,TOT,Total,206021110,Alphington - Fairfield,30
Persons,TOT,Total,206021110,Alphington - Fairfield,34
Males,1,"Employed, worked full-time",206021111,Northcote,3
Females,1,"Employed, worked full-time",206021111,Northcote,10
Persons,1,"Employed, worked full-time",206021111,Northcote,13
Males,2,"Employed, worked part-time",206021111,Northcote,0
Females,2,"Employed, worked part-time",206021111,Northcote,28
Persons,2,"Employed, worked part-time",206021111,Northcote,32
Males,3,"Employed, away from work",206021111,Northcote,0
Females,3,"Employed, away from work",206021111,Northcote,3
Persons,3,"Employed, away from work",206021111,Northcote,3
Males,4,"Employed, hours of work not stated",206021111,Northcote,0
Females,4,"Employed, hours of work not stated",206021111,Northcote,0
Persons,4,"Employed, hours of work not stated",206021111,Northcote,0
Males,5,"Unemployed, looking for full-time work",206021111,Northcote,0
Females,5,"Unemployed, looking for full-time work",206021111,Northcote,0
Persons,5,"Unemployed, looking for full-time work",206021111,Northcote,0
Males,6,"Unemployed, looking for part-time work",206021111,Northcote,0
Females,6,"Unemployed, looking for part-time work",206021111,Northcote,0
Persons,6,"Unemployed, looking for part-time work",206021111,Northcote,0
Males,7,Not in the labour force,206021111,Northcote,0
Females,7,Not in the labour force,206021111,Northcote,21
Persons,7,Not in the labour force,206021111,Northcote,21
Males,Z,Labour force status not stated,206021111,Northcote,0
Females,Z,Labour force status not stated,206021111,Northcote,0
Persons,Z,Labour force status not stated,206021111,Northcote,0
Males,EMP,Total Employed,206021111,Northcote,3
Females,EMP,Total Employed,206021111,Northcote,45
Persons,EMP,Total Employed,206021111,Northcote,47
Males,UEMP,Total Unemployed,206021111,Northcote,0
Females,UEMP,Total Unemployed,206021111,Northcote,4
Persons,UEMP,Total Unemployed,206021111,Northcote,4
Males,LF,Total Labour Force,206021111,Northcote,3
Females,LF,Total Labour Force,206021111,Northcote,46
Persons,LF,Total Labour Force,206021111,Northcote,54
Males,TOT,Total,206021111,Northcote,3
Females,TOT,Total,206021111,Northcote,66
Persons,TOT,Total,206021111,Northcote,69
Males,1,"Employed, worked full-time",206021112,Thornbury,4
Females,1,"Employed, worked full-time",206021112,Thornbury,14
Persons,1,"Employed, worked full-time",206021112,Thornbury,16
Males,2,"Employed, worked part-time",206021112,Thornbury,5
Females,2,"Employed, worked part-time",206021112,Thornbury,24
Persons,2,"Employed, worked part-time",206021112,Thornbury,28
Males,3,"Employed, away from work",206021112,Thornbury,0
Females,3,"Employed, away from work",206021112,Thornbury,6
Persons,3,"Employed, away from work",206021112,Thornbury,6
Males,4,"Employed, hours of work not stated",206021112,Thornbury,0
Females,4,"Employed, hours of work not stated",206021112,Thornbury,0
Persons,4,"Employed, hours of work not stated",206021112,Thornbury,0
Males,5,"Unemployed, looking for full-time work",206021112,Thornbury,0
Females,5,"Unemployed, looking for full-time work",206021112,Thornbury,0
Persons,5,"Unemployed, looking for full-time work",206021112,Thornbury,0
Males,6,"Unemployed, looking for part-time work",206021112,Thornbury,0
Females,6,"Unemployed, looking for part-time work",206021112,Thornbury,0
Persons,6,"Unemployed, looking for part-time work",206021112,Thornbury,0
Males,7,Not in the labour force,206021112,Thornbury,3
Females,7,Not in the labour force,206021112,Thornbury,32
Persons,7,Not in the labour force,206021112,Thornbury,36
Males,Z,Labour force status not stated,206021112,Thornbury,0
Females,Z,Labour force status not stated,206021112,Thornbury,0
Persons,Z,Labour force status not stated,206021112,Thornbury,0
Males,EMP,Total Employed,206021112,Thornbury,10
Females,EMP,Total Employed,206021112,Thornbury,38
Persons,EMP,Total Employed,206021112,Thornbury,47
Males,UEMP,Total Unemployed,206021112,Thornbury,0
Females,UEMP,Total Unemployed,206021112,Thornbury,0
Persons,UEMP,Total Unemployed,206021112,Thornbury,0
Males,LF,Total Labour Force,206021112,Thornbury,10
Females,LF,Total Labour Force,206021112,Thornbury,41
Persons,LF,Total Labour Force,206021112,Thornbury,52
Males,TOT,Total,206021112,Thornbury,9
Females,TOT,Total,206021112,Thornbury,79
Persons,TOT,Total,206021112,Thornbury,86
Males,1,"Employed, worked full-time",206031113,Ascot Vale,3
Females,1,"Employed, worked full-time",206031113,Ascot Vale,8
Persons,1,"Employed, worked full-time",206031113,Ascot Vale,9
Males,2,"Employed, worked part-time",206031113,Ascot Vale,0
Females,2,"Employed, worked part-time",206031113,Ascot Vale,17
Persons,2,"Employed, worked part-time",206031113,Ascot Vale,17
Males,3,"Employed, away from work",206031113,Ascot Vale,0
Females,3,"Employed, away from work",206031113,Ascot Vale,0
Persons,3,"Employed, away from work",206031113,Ascot Vale,0
Males,4,"Employed, hours of work not stated",206031113,Ascot Vale,0
Females,4,"Employed, hours of work not stated",206031113,Ascot Vale,0
Persons,4,"Employed, hours of work not stated",206031113,Ascot Vale,0
Males,5,"Unemployed, looking for full-time work",206031113,Ascot Vale,0
Females,5,"Unemployed, looking for full-time work",206031113,Ascot Vale,9
Persons,5,"Unemployed, looking for full-time work",206031113,Ascot Vale,9
Males,6,"Unemployed, looking for part-time work",206031113,Ascot Vale,0
Females,6,"Unemployed, looking for part-time work",206031113,Ascot Vale,3
Persons,6,"Unemployed, looking for part-time work",206031113,Ascot Vale,3
Males,7,Not in the labour force,206031113,Ascot Vale,0
Females,7,Not in the labour force,206031113,Ascot Vale,81
Persons,7,Not in the labour force,206031113,Ascot Vale,83
Males,Z,Labour force status not stated,206031113,Ascot Vale,0
Females,Z,Labour force status not stated,206031113,Ascot Vale,3
Persons,Z,Labour force status not stated,206031113,Ascot Vale,3
Males,EMP,Total Employed,206031113,Ascot Vale,4
Females,EMP,Total Employed,206031113,Ascot Vale,30
Persons,EMP,Total Employed,206031113,Ascot Vale,32
Males,UEMP,Total Unemployed,206031113,Ascot Vale,0
Females,UEMP,Total Unemployed,206031113,Ascot Vale,11
Persons,UEMP,Total Unemployed,206031113,Ascot Vale,11
Males,LF,Total Labour Force,206031113,Ascot Vale,4
Females,LF,Total Labour Force,206031113,Ascot Vale,39
Persons,LF,Total Labour Force,206031113,Ascot Vale,38
Males,TOT,Total,206031113,Ascot Vale,3
Females,TOT,Total,206031113,Ascot Vale,117
Persons,TOT,Total,206031113,Ascot Vale,121
Males,1,"Employed, worked full-time",206031114,Essendon - Aberfeldie,4
Females,1,"Employed, worked full-time",206031114,Essendon - Aberfeldie,14
Persons,1,"Employed, worked full-time",206031114,Essendon - Aberfeldie,12
Males,2,"Employed, worked part-time",206031114,Essendon - Aberfeldie,0
Females,2,"Employed, worked part-time",206031114,Essendon - Aberfeldie,16
Persons,2,"Employed, worked part-time",206031114,Essendon - Aberfeldie,18
Males,3,"Employed, away from work",206031114,Essendon - Aberfeldie,0
Females,3,"Employed, away from work",206031114,Essendon - Aberfeldie,3
Persons,3,"Employed, away from work",206031114,Essendon - Aberfeldie,3
Males,4,"Employed, hours of work not stated",206031114,Essendon - Aberfeldie,0
Females,4,"Employed, hours of work not stated",206031114,Essendon - Aberfeldie,0
Persons,4,"Employed, hours of work not stated",206031114,Essendon - Aberfeldie,0
Males,5,"Unemployed, looking for full-time work",206031114,Essendon - Aberfeldie,0
Females,5,"Unemployed, looking for full-time work",206031114,Essendon - Aberfeldie,3
Persons,5,"Unemployed, looking for full-time work",206031114,Essendon - Aberfeldie,6
Males,6,"Unemployed, looking for part-time work",206031114,Essendon - Aberfeldie,0
Females,6,"Unemployed, looking for part-time work",206031114,Essendon - Aberfeldie,0
Persons,6,"Unemployed, looking for part-time work",206031114,Essendon - Aberfeldie,0
Males,7,Not in the labour force,206031114,Essendon - Aberfeldie,0
Females,7,Not in the labour force,206031114,Essendon - Aberfeldie,38
Persons,7,Not in the labour force,206031114,Essendon - Aberfeldie,38
Males,Z,Labour force status not stated,206031114,Essendon - Aberfeldie,0
Females,Z,Labour force status not stated,206031114,Essendon - Aberfeldie,0
Persons,Z,Labour force status not stated,206031114,Essendon - Aberfeldie,0
Males,EMP,Total Employed,206031114,Essendon - Aberfeldie,8
Females,EMP,Total Employed,206031114,Essendon - Aberfeldie,36
Persons,EMP,Total Employed,206031114,Essendon - Aberfeldie,39
Males,UEMP,Total Unemployed,206031114,Essendon - Aberfeldie,0
Females,UEMP,Total Unemployed,206031114,Essendon - Aberfeldie,5
Persons,UEMP,Total Unemployed,206031114,Essendon - Aberfeldie,4
Males,LF,Total Labour Force,206031114,Essendon - Aberfeldie,4
Females,LF,Total Labour Force,206031114,Essendon - Aberfeldie,38
Persons,LF,Total Labour Force,206031114,Essendon - Aberfeldie,45
Males,TOT,Total,206031114,Essendon - Aberfeldie,4
Females,TOT,Total,206031114,Essendon - Aberfeldie,73
Persons,TOT,Total,206031114,Essendon - Aberfeldie,82
Males,1,"Employed, worked full-time",206031115,Flemington,0
Females,1,"Employed, worked full-time",206031115,Flemington,3
Persons,1,"Employed, worked full-time",206031115,Flemington,9
Males,2,"Employed, worked part-time",206031115,Flemington,3
Females,2,"Employed, worked part-time",206031115,Flemington,16
Persons,2,"Employed, worked part-time",206031115,Flemington,17
Males,3,"Employed, away from work",206031115,Flemington,0
Females,3,"Employed, away from work",206031115,Flemington,0
Persons,3,"Employed, away from work",206031115,Flemington,0
Males,4,"Employed, hours of work not stated",206031115,Flemington,0
Females,4,"Employed, hours of work not stated",206031115,Flemington,3
Persons,4,"Employed, hours of work not stated",206031115,Flemington,3
Males,5,"Unemployed, looking for full-time work",206031115,Flemington,0
Females,5,"Unemployed, looking for full-time work",206031115,Flemington,0
Persons,5,"Unemployed, looking for full-time work",206031115,Flemington,0
Males,6,"Unemployed, looking for part-time work",206031115,Flemington,0
Females,6,"Unemployed, looking for part-time work",206031115,Flemington,3
Persons,6,"Unemployed, looking for part-time work",206031115,Flemington,3
Males,7,Not in the labour force,206031115,Flemington,5
Females,7,Not in the labour force,206031115,Flemington,73
Persons,7,Not in the labour force,206031115,Flemington,77
Males,Z,Labour force status not stated,206031115,Flemington,0
Females,Z,Labour force status not stated,206031115,Flemington,0
Persons,Z,Labour force status not stated,206031115,Flemington,0
Males,EMP,Total Employed,206031115,Flemington,4
Females,EMP,Total Employed,206031115,Flemington,25
Persons,EMP,Total Employed,206031115,Flemington,31
Males,UEMP,Total Unemployed,206031115,Flemington,0
Females,UEMP,Total Unemployed,206031115,Flemington,5
Persons,UEMP,Total Unemployed,206031115,Flemington,5
Males,LF,Total Labour Force,206031115,Flemington,4
Females,LF,Total Labour Force,206031115,Flemington,26
Persons,LF,Total Labour Force,206031115,Flemington,35
Males,TOT,Total,206031115,Flemington,7
Females,TOT,Total,206031115,Flemington,99
Persons,TOT,Total,206031115,Flemington,111
Males,1,"Employed, worked full-time",206031116,Moonee Ponds,0
Females,1,"Employed, worked full-time",206031116,Moonee Ponds,3
Persons,1,"Employed, worked full-time",206031116,Moonee Ponds,3
Males,2,"Employed, worked part-time",206031116,Moonee Ponds,0
Females,2,"Employed, worked part-time",206031116,Moonee Ponds,7
Persons,2,"Employed, worked part-time",206031116,Moonee Ponds,7
Males,3,"Employed, away from work",206031116,Moonee Ponds,0
Females,3,"Employed, away from work",206031116,Moonee Ponds,0
Persons,3,"Employed, away from work",206031116,Moonee Ponds,0
Males,4,"Employed, hours of work not stated",206031116,Moonee Ponds,0
Females,4,"Employed, hours of work not stated",206031116,Moonee Ponds,0
Persons,4,"Employed, hours of work not stated",206031116,Moonee Ponds,0
Males,5,"Unemployed, looking for full-time work",206031116,Moonee Ponds,0
Females,5,"Unemployed, looking for full-time work",206031116,Moonee Ponds,0
Persons,5,"Unemployed, looking for full-time work",206031116,Moonee Ponds,0
Males,6,"Unemployed, looking for part-time work",206031116,Moonee Ponds,0
Females,6,"Unemployed, looking for part-time work",206031116,Moonee Ponds,0
Persons,6,"Unemployed, looking for part-time work",206031116,Moonee Ponds,0
Males,7,Not in the labour force,206031116,Moonee Ponds,0
Females,7,Not in the labour force,206031116,Moonee Ponds,11
Persons,7,Not in the labour force,206031116,Moonee Ponds,11
Males,Z,Labour force status not stated,206031116,Moonee Ponds,0
Females,Z,Labour force status not stated,206031116,Moonee Ponds,0
Persons,Z,Labour force status not stated,206031116,Moonee Ponds,0
Males,EMP,Total Employed,206031116,Moonee Ponds,0
Females,EMP,Total Employed,206031116,Moonee Ponds,10
Persons,EMP,Total Employed,206031116,Moonee Ponds,13
Males,UEMP,Total Unemployed,206031116,Moonee Ponds,0
Females,UEMP,Total Unemployed,206031116,Moonee Ponds,3
Persons,UEMP,Total Unemployed,206031116,Moonee Ponds,3
Males,LF,Total Labour Force,206031116,Moonee Ponds,0
Females,LF,Total Labour Force,206031116,Moonee Ponds,12
Persons,LF,Total Labour Force,206031116,Moonee Ponds,17
Males,TOT,Total,206031116,Moonee Ponds,3
Females,TOT,Total,206031116,Moonee Ponds,28
Persons,TOT,Total,206031116,Moonee Ponds,32
Males,1,"Employed, worked full-time",206041117,Carlton,0
Females,1,"Employed, worked full-time",206041117,Carlton,7
Persons,1,"Employed, worked full-time",206041117,Carlton,7
Males,2,"Employed, worked part-time",206041117,Carlton,0
Females,2,"Employed, worked part-time",206041117,Carlton,5
Persons,2,"Employed, worked part-time",206041117,Carlton,5
Males,3,"Employed, away from work",206041117,Carlton,0
Females,3,"Employed, away from work",206041117,Carlton,0
Persons,3,"Employed, away from work",206041117,Carlton,0
Males,4,"Employed, hours of work not stated",206041117,Carlton,0
Females,4,"Employed, hours of work not stated",206041117,Carlton,0
Persons,4,"Employed, hours of work not stated",206041117,Carlton,0
Males,5,"Unemployed, looking for full-time work",206041117,Carlton,0
Females,5,"Unemployed, looking for full-time work",206041117,Carlton,0
Persons,5,"Unemployed, looking for full-time work",206041117,Carlton,0
Males,6,"Unemployed, looking for part-time work",206041117,Carlton,0
Females,6,"Unemployed, looking for part-time work",206041117,Carlton,4
Persons,6,"Unemployed, looking for part-time work",206041117,Carlton,4
Males,7,Not in the labour force,206041117,Carlton,3
Females,7,Not in the labour force,206041117,Carlton,53
Persons,7,Not in the labour force,206041117,Carlton,60
Males,Z,Labour force status not stated,206041117,Carlton,0
Females,Z,Labour force status not stated,206041117,Carlton,3
Persons,Z,Labour force status not stated,206041117,Carlton,5
Males,EMP,Total Employed,206041117,Carlton,0
Females,EMP,Total Employed,206041117,Carlton,18
Persons,EMP,Total Employed,206041117,Carlton,18
Males,UEMP,Total Unemployed,206041117,Carlton,0
Females,UEMP,Total Unemployed,206041117,Carlton,4
Persons,UEMP,Total Unemployed,206041117,Carlton,4
Males,LF,Total Labour Force,206041117,Carlton,0
Females,LF,Total Labour Force,206041117,Carlton,21
Persons,LF,Total Labour Force,206041117,Carlton,21
Males,TOT,Total,206041117,Carlton,3
Females,TOT,Total,206041117,Carlton,80
Persons,TOT,Total,206041117,Carlton,84
Males,1,"Employed, worked full-time",206041118,Docklands,0
Females,1,"Employed, worked full-time",206041118,Docklands,14
Persons,1,"Employed, worked full-time",206041118,Docklands,14
Males,2,"Employed, worked part-time",206041118,Docklands,0
Females,2,"Employed, worked part-time",206041118,Docklands,0
Persons,2,"Employed, worked part-time",206041118,Docklands,0
Males,3,"Employed, away from work",206041118,Docklands,0
Females,3,"Employed, away from work",206041118,Docklands,3
Persons,3,"Employed, away from work",206041118,Docklands,3
